order_id,order_date,region,product_id,supplier_id,quantity,unit_sales,revenue,promised_date,delivered_date,delivery_days,delivery_status,fulfillment_status,return_flag,late_flag
O000032,2025-07-14,North,P0040,S001,8,216.21,1729.68,2025-07-16,2025-07-17,3,Late,Fulfilled,0,1
O000033,2025-07-28,West,P0035,S010,8,211.82,1694.56,2025-08-02,2025-08-08,11,Late,Fulfilled,0,1
O000034,2025-06-22,South,P0026,S007,7,250.97,1756.79,2025-06-25,2025-06-24,2,On Time,Fulfilled,0,0
O000035,2025-08-11,East,P0042,S007,3,315.31,945.93,2025-08-16,2025-08-15,4,On Time,Fulfilled,0,0
O000036,2025-07-02,South,P0026,S007,4,250.97,1003.88,2025-07-07,2025-07-08,6,Late,Fulfilled,0,1
O000037,2025-12-14,Central,P0009,S004,5,209.42,1047.1,2025-12-19,2025-12-18,4,On Time,Fulfilled,0,0
O000038,2025-07-17,South,P0025,S004,7,171.85,1202.95,2025-07-19,2025-07-20,3,Late,Fulfilled,0,1
O000039,2025-05-21,East,P0037,S004,3,84.71,254.13,2025-05-26,2025-05-25,4,On Time,Fulfilled,0,0
O000040,2025-06-29,West,P0021,S004,8,179.24,1433.92,2025-07-01,2025-06-30,1,On Time,Fulfilled,0,0
O000041,2025-11-07,South,P0032,S001,3,166.64,499.92,2025-11-10,2025-11-11,4,Late,Fulfilled,0,1
O000042,2025-02-06,South,P0049,S004,1,224.76,224.76,2025-02-11,2025-02-10,4,On Time,Fulfilled,0,0
O000043,2025-11-05,North,P0026,S007,8,250.97,2007.76,2025-11-08,2025-11-09,4,Late,Fulfilled,0,1
O000044,2025-03-03,West,P0010,S007,4,101.15,404.6,2025-03-06,2025-03-07,4,Late,Fulfilled,0,1
O000045,2025-03-22,South,P0048,S001,1,141.97,141.97,2025-03-27,2025-03-28,6,Late,Fulfilled,0,1
O000046,2025-02-11,East,P0044,S001,4,281.48,1125.92,2025-02-15,2025-02-14,3,On Time,Fulfilled,0,0
O000047,2025-11-06,West,P0038,S007,7,97.26,680.82,2025-11-09,2025-11-10,4,Late,Fulfilled,0,1
O000048,2025-11-13,South,P0057,S004,2,302.85,605.7,2025-11-16,2025-11-17,4,Late,Fulfilled,0,1
O000049,2025-04-24,East,P0016,S001,2,140.21,280.42,2025-04-27,2025-04-27,3,On Time,Fulfilled,0,0
O000050,2025-09-02,West,P0054,S007,3,261.11,783.33,2025-09-04,2025-09-03,1,On Time,Returned,1,0
O000051,2025-04-09,North,P0049,S004,8,224.76,1798.08,2025-04-15,2025-04-15,6,On Time,Fulfilled,0,0
O000052,2025-03-12,North,P0018,S007,8,79.76,638.08,2025-03-14,2025-03-15,3,Late,Fulfilled,0,1
O000053,2025-07-15,West,P0053,S004,8,133.42,1067.36,2025-07-21,2025-07-21,6,On Time,Fulfilled,0,0
O000054,2025-09-21,South,P0052,S001,7,57.76,404.32,2025-09-24,2025-09-30,9,Late,Fulfilled,0,1
O000055,2025-01-05,Central,P0058,S007,1,66.02,66.02,2025-01-08,2025-01-09,4,Late,Fulfilled,0,1
O000056,2025-07-29,South,P0037,S004,7,84.71,592.97,2025-08-03,2025-08-03,5,On Time,Fulfilled,0,0
O000057,2025-07-08,South,P0050,S007,6,37.5,225.0,2025-07-11,2025-07-11,3,On Time,Fulfilled,0,0
O000058,2025-01-04,Central,P0044,S001,2,281.48,562.96,2025-01-06,2025-01-05,1,On Time,Fulfilled,0,0
O000059,2025-06-01,North,P0012,S001,4,86.98,347.92,2025-06-04,2025-06-03,2,On Time,Fulfilled,0,0
O000060,2025-09-03,West,P0028,S001,7,123.49,864.43,2025-09-09,2025-09-08,5,On Time,Fulfilled,0,0
O000061,2025-06-09,South,P0056,S001,3,210.07,630.21,2025-06-14,2025-06-14,5,On Time,Fulfilled,0,0
O000062,2025-06-11,South,P0024,S001,6,64.9,389.4,2025-06-15,2025-06-16,5,Late,Fulfilled,0,1
O000063,2025-08-06,East,P0027,S010,2,275.2,550.4,2025-08-09,2025-08-09,3,On Time,Fulfilled,0,0
O000064,2025-07-26,West,P0043,S010,5,254.39,1271.95,2025-07-30,2025-07-31,5,Late,Fulfilled,0,1
O000065,2025-03-25,South,P0016,S001,3,140.21,420.63,2025-03-27,2025-03-26,1,On Time,Fulfilled,0,0
O000066,2025-07-09,North,P0013,S004,7,290.72,2035.04,2025-07-12,2025-07-13,4,Late,Fulfilled,0,1
O000067,2025-01-27,East,P0015,S010,1,312.58,312.58,2025-02-02,2025-02-02,6,On Time,Fulfilled,0,0
O000068,2025-03-20,North,P0025,S004,5,171.85,859.25,2025-03-25,2025-03-25,5,On Time,Fulfilled,0,0
O000069,2025-01-18,South,P0036,S001,6,98.04,588.24,2025-01-21,2025-01-24,6,Late,Fulfilled,0,1
O000070,2025-06-12,South,P0015,S010,7,312.58,2188.06,2025-06-14,2025-06-15,3,Late,Fulfilled,0,1
O000071,2025-01-19,West,P0054,S007,1,261.11,261.11,2025-01-22,2025-01-22,3,On Time,Returned,1,0
O000072,2025-01-23,South,P0059,S010,1,209.28,209.28,2025-01-29,2025-01-28,5,On Time,Fulfilled,0,0
O000073,2025-01-15,Central,P0035,S010,2,211.82,423.64,2025-01-18,2025-01-19,4,Late,Fulfilled,0,1
O000074,2025-07-14,North,P0011,S010,8,132.12,1056.96,2025-07-17,2025-07-23,9,Late,Returned,1,1
O000075,2025-11-07,West,P0020,S001,5,148.59,742.95,2025-11-10,2025-11-11,4,Late,Fulfilled,0,1
O000076,2025-11-15,North,P0020,S001,2,148.59,297.18,2025-11-18,2025-11-21,6,Late,Fulfilled,0,1
O000077,2025-08-20,South,P0009,S004,3,209.42,628.26,2025-08-26,2025-08-26,6,On Time,Fulfilled,0,0
O000078,2025-04-10,East,P0035,S010,5,211.82,1059.1,2025-04-15,2025-04-15,5,On Time,Fulfilled,0,0
O000079,2025-03-12,Central,P0022,S007,3,174.48,523.44,2025-03-16,2025-03-15,3,On Time,Returned,1,0
O000080,2025-10-29,Central,P0038,S007,1,97.26,97.26,2025-11-03,2025-11-04,6,Late,Fulfilled,0,1
O000081,2025-04-27,East,P0036,S001,7,98.04,686.28,2025-05-02,2025-05-03,6,Late,Fulfilled,0,1
O000082,2025-06-20,West,P0050,S007,1,37.5,37.5,2025-06-24,2025-06-24,4,On Time,Fulfilled,0,0
O000083,2025-06-06,West,P0015,S010,4,312.58,1250.32,2025-06-12,2025-06-13,7,Late,Fulfilled,0,1
O000084,2025-06-15,North,P0044,S001,5,281.48,1407.4,2025-06-17,2025-06-17,2,On Time,Fulfilled,0,0
O000085,2025-02-04,South,P0030,S007,1,299.53,299.53,2025-02-09,2025-02-09,5,On Time,Fulfilled,0,0
O000086,2025-05-28,East,P0054,S007,6,261.11,1566.66,2025-06-02,2025-06-03,6,Late,Fulfilled,0,1
O000087,2025-06-10,North,P0049,S004,7,224.76,1573.32,2025-06-16,2025-06-16,6,On Time,Fulfilled,0,0
O000088,2025-06-19,South,P0034,S007,4,263.25,1053.0,2025-06-22,2025-06-21,2,On Time,Fulfilled,0,0
O000089,2025-11-23,East,P0034,S007,3,263.25,789.75,2025-11-26,2025-11-27,4,Late,Fulfilled,0,1
O000090,2025-01-14,North,P0056,S001,5,210.07,1050.35,2025-01-16,2025-01-17,3,Late,Fulfilled,0,1
O000091,2025-10-26,Central,P0050,S007,3,37.5,112.5,2025-10-31,2025-11-01,6,Late,Fulfilled,0,1
O000092,2025-03-24,West,P0031,S010,6,75.12,450.72,2025-03-29,2025-03-28,4,On Time,Fulfilled,0,0
O000093,2025-03-03,East,P0049,S004,2,224.76,449.52,2025-03-08,2025-03-07,4,On Time,Fulfilled,0,0
O000094,2025-09-20,North,P0011,S010,2,132.12,264.24,2025-09-23,2025-09-23,3,On Time,Fulfilled,0,0
O000095,2025-10-27,West,P0010,S007,1,101.15,101.15,2025-10-29,2025-11-01,5,Late,Fulfilled,0,1
O000096,2025-11-15,South,P0033,S004,7,183.37,1283.59,2025-11-20,2025-11-20,5,On Time,Fulfilled,0,0
O000097,2025-05-29,West,P0033,S004,7,183.37,1283.59,2025-06-03,2025-06-03,5,On Time,Fulfilled,0,0
O000098,2025-11-14,Central,P0048,S001,3,141.97,425.91,2025-11-16,2025-11-17,3,Late,Fulfilled,0,1
O000099,2025-09-12,Central,P0021,S004,3,179.24,537.72,2025-09-14,2025-09-15,3,Late,Fulfilled,0,1
O000100,2025-05-19,South,P0035,S010,5,211.82,1059.1,2025-05-25,2025-05-24,5,On Time,Fulfilled,0,0
O000101,2025-12-08,North,P0018,S007,8,79.76,638.08,2025-12-14,2025-12-14,6,On Time,Fulfilled,0,0
O000102,2025-04-19,East,P0008,S001,5,158.77,793.85,2025-04-25,2025-04-28,9,Late,Fulfilled,0,1
O000103,2025-05-18,East,P0029,S004,3,76.33,228.99,2025-05-24,2025-05-24,6,On Time,Fulfilled,0,0
O000104,2025-04-22,North,P0043,S010,4,254.39,1017.56,2025-04-26,2025-04-29,7,Late,Fulfilled,0,1
O000105,2025-02-05,South,P0059,S010,7,209.28,1464.96,2025-02-09,2025-02-15,10,Late,Returned,1,1
O000106,2025-03-22,East,P0048,S001,6,141.97,851.82,2025-03-24,2025-03-23,1,On Time,Fulfilled,0,0
O000107,2025-01-30,Central,P0031,S010,2,75.12,150.24,2025-02-04,2025-02-03,4,On Time,Fulfilled,0,0
O000108,2025-09-12,Central,P0034,S007,5,263.25,1316.25,2025-09-14,2025-09-20,8,Late,Fulfilled,0,1
O000109,2025-09-25,North,P0039,S010,3,71.46,214.38,2025-09-28,2025-09-28,3,On Time,Fulfilled,0,0
O000110,2025-03-27,East,P0029,S004,4,76.33,305.32,2025-03-30,2025-03-29,2,On Time,Fulfilled,0,0
O000111,2025-07-10,East,P0038,S007,7,97.26,680.82,2025-07-13,2025-07-13,3,On Time,Fulfilled,0,0
O000112,2025-12-20,South,P0013,S004,2,290.72,581.44,2025-12-24,2025-12-24,4,On Time,Fulfilled,0,0
O000113,2025-02-21,North,P0009,S004,2,209.42,418.84,2025-02-25,2025-02-24,3,On Time,Fulfilled,0,0
O000114,2025-04-15,South,P0012,S001,3,86.98,260.94,2025-04-19,2025-04-19,4,On Time,Fulfilled,0,0
O000115,2025-08-14,South,P0036,S001,8,98.04,784.32,2025-08-19,2025-08-19,5,On Time,Fulfilled,0,0
O000116,2025-12-20,East,P0034,S007,2,263.25,526.5,2025-12-25,2025-12-31,11,Late,Fulfilled,0,1
O000117,2025-01-10,North,P0008,S001,7,158.77,1111.39,2025-01-13,2025-01-12,2,On Time,Fulfilled,0,0
O000118,2025-11-13,North,P0036,S001,6,98.04,588.24,2025-11-19,2025-11-19,6,On Time,Fulfilled,0,0
O000119,2025-11-11,North,P0046,S007,6,225.07,1350.42,2025-11-14,2025-11-15,4,Late,Fulfilled,0,1
O000120,2025-06-19,Central,P0035,S010,6,211.82,1270.92,2025-06-21,2025-06-21,2,On Time,Fulfilled,0,0
O000121,2025-05-31,Central,P0053,S004,2,133.42,266.84,2025-06-06,2025-06-05,5,On Time,Fulfilled,0,0
O000122,2025-05-11,North,P0011,S010,4,132.12,528.48,2025-05-15,2025-05-16,5,Late,Returned,1,1
O000123,2025-11-01,Central,P0050,S007,8,37.5,300.0,2025-11-03,2025-11-04,3,Late,Fulfilled,0,1
O000124,2025-12-11,West,P0023,S010,1,93.63,93.63,2025-12-13,2025-12-12,1,On Time,Fulfilled,0,0
O000125,2025-04-13,South,P0047,S010,7,108.12,756.84,2025-04-17,2025-04-17,4,On Time,Fulfilled,0,0
O000126,2025-05-21,Central,P0003,S010,1,294.12,294.12,2025-05-25,2025-05-26,5,Late,Fulfilled,0,1
O000127,2025-08-09,East,P0018,S007,2,79.76,159.52,2025-08-12,2025-08-12,3,On Time,Fulfilled,0,0
O000128,2025-09-07,South,P0034,S007,8,263.25,2106.0,2025-09-09,2025-09-10,3,Late,Fulfilled,0,1
O000129,2025-09-27,Central,P0055,S010,6,76.46,458.76,2025-10-02,2025-10-08,11,Late,Fulfilled,0,1
O000130,2025-01-24,North,P0017,S004,8,179.09,1432.72,2025-01-29,2025-01-28,4,On Time,Fulfilled,0,0
O000131,2025-08-09,East,P0023,S010,6,93.63,561.78,2025-08-11,2025-08-10,1,On Time,Fulfilled,0,0
O000132,2025-06-22,West,P0049,S004,3,224.76,674.28,2025-06-28,2025-06-28,6,On Time,Fulfilled,0,0
O000133,2025-11-12,West,P0031,S010,2,75.12,150.24,2025-11-15,2025-11-15,3,On Time,Fulfilled,0,0
O000134,2025-06-15,Central,P0020,S001,4,148.59,594.36,2025-06-19,2025-06-18,3,On Time,Fulfilled,0,0
O000135,2025-02-06,East,P0058,S007,3,66.02,198.06,2025-02-11,2025-02-12,6,Late,Fulfilled,0,1
O000136,2025-06-01,South,P0053,S004,4,133.42,533.68,2025-06-06,2025-06-06,5,On Time,Fulfilled,0,0
O000137,2025-07-24,East,P0059,S010,2,209.28,418.56,2025-07-30,2025-07-29,5,On Time,Fulfilled,0,0
O000138,2025-11-22,North,P0009,S004,6,209.42,1256.52,2025-11-25,2025-11-24,2,On Time,Fulfilled,0,0
O000139,2025-07-15,North,P0032,S001,3,166.64,499.92,2025-07-18,2025-07-20,5,Late,Fulfilled,0,1
O000140,2025-01-30,Central,P0014,S007,5,195.03,975.15,2025-02-01,2025-02-02,3,Late,Fulfilled,0,1
O000141,2025-12-03,South,P0051,S010,5,159.11,795.55,2025-12-08,2025-12-07,4,On Time,Fulfilled,0,0
O000142,2025-01-01,North,P0010,S007,1,101.15,101.15,2025-01-05,2025-01-05,4,On Time,Fulfilled,0,0
O000143,2025-10-17,East,P0054,S007,2,261.11,522.22,2025-10-19,2025-10-20,3,Late,Returned,1,1
O000144,2025-01-29,East,P0015,S010,5,312.58,1562.9,2025-01-31,2025-01-30,1,On Time,Fulfilled,0,0
O000145,2025-12-05,South,P0040,S001,8,216.21,1729.68,2025-12-07,2025-12-07,2,On Time,Returned,1,0
O000146,2025-04-03,East,P0043,S010,8,254.39,2035.12,2025-04-07,2025-04-08,5,Late,Fulfilled,0,1
O000147,2025-02-11,North,P0046,S007,4,225.07,900.28,2025-02-14,2025-02-13,2,On Time,Fulfilled,0,0
O000148,2025-06-27,Central,P0030,S007,7,299.53,2096.71,2025-07-02,2025-07-01,4,On Time,Fulfilled,0,0
O000149,2025-10-24,South,P0034,S007,8,263.25,2106.0,2025-10-26,2025-10-26,2,On Time,Fulfilled,0,0
O000150,2025-12-20,South,P0008,S001,4,158.77,635.08,2025-12-26,2025-12-25,5,On Time,Fulfilled,0,0
O000151,2025-03-28,Central,P0051,S010,4,159.11,636.44,2025-04-03,2025-04-02,5,On Time,Fulfilled,0,0
O000152,2025-10-19,West,P0018,S007,2,79.76,159.52,2025-10-21,2025-10-20,1,On Time,Fulfilled,0,0
O000153,2025-06-27,South,P0033,S004,4,183.37,733.48,2025-06-30,2025-06-30,3,On Time,Fulfilled,0,0
O000154,2025-07-19,West,P0029,S004,8,76.33,610.64,2025-07-25,2025-07-30,11,Late,Fulfilled,0,1
O000155,2025-01-19,West,P0015,S010,8,312.58,2500.64,2025-01-25,2025-01-25,6,On Time,Fulfilled,0,0
O000156,2025-09-30,South,P0054,S007,7,261.11,1827.77,2025-10-05,2025-10-04,4,On Time,Fulfilled,0,0
O000157,2025-04-17,South,P0052,S001,1,57.76,57.76,2025-04-22,2025-04-23,6,Late,Fulfilled,0,1
O000158,2025-05-02,South,P0015,S010,7,312.58,2188.06,2025-05-05,2025-05-06,4,Late,Fulfilled,0,1
O000159,2025-09-17,Central,P0051,S010,1,159.11,159.11,2025-09-23,2025-09-22,5,On Time,Fulfilled,0,0
O000160,2025-02-06,North,P0042,S007,4,315.31,1261.24,2025-02-12,2025-02-11,5,On Time,Fulfilled,0,0
O000161,2025-07-28,East,P0053,S004,5,133.42,667.1,2025-08-03,2025-08-08,11,Late,Fulfilled,0,1
O000162,2025-05-15,Central,P0026,S007,5,250.97,1254.85,2025-05-17,2025-05-18,3,Late,Fulfilled,0,1
O000163,2025-10-30,East,P0008,S001,5,158.77,793.85,2025-11-05,2025-11-06,7,Late,Fulfilled,0,1
O000164,2025-04-23,Central,P0052,S001,8,57.76,462.08,2025-04-29,2025-04-29,6,On Time,Fulfilled,0,0
O000165,2025-09-03,West,P0026,S007,1,250.97,250.97,2025-09-09,2025-09-10,7,Late,Fulfilled,0,1
O000166,2025-01-31,East,P0006,S007,8,73.03,584.24,2025-02-03,2025-02-02,2,On Time,Fulfilled,0,0
O000167,2025-10-13,North,P0026,S007,8,250.97,2007.76,2025-10-19,2025-10-20,7,Late,Fulfilled,0,1
O000168,2025-08-04,East,P0057,S004,3,302.85,908.55,2025-08-06,2025-08-05,1,On Time,Fulfilled,0,0
O000169,2025-02-21,East,P0047,S010,3,108.12,324.36,2025-02-27,2025-02-26,5,On Time,Fulfilled,0,0
O000170,2025-03-22,West,P0041,S004,2,162.16,324.32,2025-03-26,2025-03-26,4,On Time,Fulfilled,0,0
O000171,2025-03-31,South,P0006,S007,6,73.03,438.18,2025-04-02,2025-04-03,3,Late,Fulfilled,0,1
O000172,2025-08-16,South,P0047,S010,5,108.12,540.6,2025-08-22,2025-08-24,8,Late,Fulfilled,0,1
O000173,2025-01-15,North,P0012,S001,7,86.98,608.86,2025-01-18,2025-01-20,5,Late,Fulfilled,0,1
O000174,2025-02-04,South,P0052,S001,8,57.76,462.08,2025-02-07,2025-02-07,3,On Time,Fulfilled,0,0
O000175,2025-09-06,South,P0006,S007,4,73.03,292.12,2025-09-08,2025-09-07,1,On Time,Fulfilled,0,0
O000176,2025-11-19,West,P0022,S007,4,174.48,697.92,2025-11-21,2025-11-22,3,Late,Fulfilled,0,1
O000177,2025-04-28,West,P0019,S010,3,269.79,809.37,2025-05-02,2025-05-02,4,On Time,Fulfilled,0,0
O000178,2025-03-24,Central,P0055,S010,8,76.46,611.68,2025-03-26,2025-03-27,3,Late,Fulfilled,0,1
O000179,2025-12-28,South,P0019,S010,4,269.79,1079.16,2026-01-02,2026-01-01,4,On Time,Fulfilled,0,0
O000180,2025-05-29,North,P0004,S001,3,209.94,629.82,2025-06-03,2025-06-02,4,On Time,Fulfilled,0,0
O000181,2025-02-15,South,P0015,S010,3,312.58,937.74,2025-02-19,2025-02-20,5,Late,Fulfilled,0,1
O000182,2025-03-19,Central,P0028,S001,6,123.49,740.94,2025-03-21,2025-03-20,1,On Time,Fulfilled,0,0
O000183,2025-05-28,West,P0060,S001,5,118.33,591.65,2025-06-03,2025-06-03,6,On Time,Fulfilled,0,0
O000184,2025-07-15,South,P0020,S001,6,148.59,891.54,2025-07-18,2025-07-19,4,Late,Returned,1,1
O000185,2025-03-20,North,P0038,S007,4,97.26,389.04,2025-03-26,2025-03-26,6,On Time,Fulfilled,0,0
O000186,2025-01-28,North,P0048,S001,6,141.97,851.82,2025-02-01,2025-02-01,4,On Time,Fulfilled,0,0
O000187,2025-04-22,North,P0045,S004,6,109.48,656.88,2025-04-26,2025-04-29,7,Late,Fulfilled,0,1
O000188,2025-10-16,West,P0008,S001,5,158.77,793.85,2025-10-21,2025-10-20,4,On Time,Fulfilled,0,0
O000189,2025-06-03,Central,P0037,S004,3,84.71,254.13,2025-06-06,2025-06-05,2,On Time,Fulfilled,0,0
O000190,2025-07-07,South,P0016,S001,2,140.21,280.42,2025-07-13,2025-07-12,5,On Time,Returned,1,0
O000191,2025-12-03,East,P0001,S004,2,289.3,578.6,2025-12-09,2025-12-08,5,On Time,Fulfilled,0,0
O000192,2025-03-26,East,P0038,S007,1,97.26,97.26,2025-03-30,2025-04-03,8,Late,Fulfilled,0,1
O000193,2025-03-02,North,P0001,S004,8,289.3,2314.4,2025-03-08,2025-03-09,7,Late,Returned,1,1
O000194,2025-11-23,West,P0003,S010,2,294.12,588.24,2025-11-25,2025-11-26,3,Late,Fulfilled,0,1
O000195,2025-05-30,Central,P0013,S004,8,290.72,2325.76,2025-06-02,2025-06-01,2,On Time,Fulfilled,0,0
O000196,2025-01-22,West,P0024,S001,1,64.9,64.9,2025-01-25,2025-01-26,4,Late,Fulfilled,0,1
O000197,2025-05-30,Central,P0021,S004,3,179.24,537.72,2025-06-02,2025-06-03,4,Late,Returned,1,1
O000198,2025-05-29,Central,P0001,S004,6,289.3,1735.8,2025-06-04,2025-06-05,7,Late,Fulfilled,0,1
O000199,2025-04-16,West,P0016,S001,8,140.21,1121.68,2025-04-22,2025-04-23,7,Late,Fulfilled,0,1
O000200,2025-04-14,North,P0005,S004,6,247.38,1484.28,2025-04-20,2025-04-21,7,Late,Fulfilled,0,1
O000201,2025-06-25,East,P0030,S007,3,299.53,898.59,2025-06-30,2025-07-04,9,Late,Fulfilled,0,1
O000202,2025-11-30,South,P0053,S004,8,133.42,1067.36,2025-12-06,2025-12-07,7,Late,Fulfilled,0,1
O000203,2025-06-12,Central,P0033,S004,1,183.37,183.37,2025-06-17,2025-06-18,6,Late,Fulfilled,0,1
O000204,2025-01-25,South,P0041,S004,2,162.16,324.32,2025-01-31,2025-02-06,12,Late,Fulfilled,0,1
O000205,2025-12-14,South,P0028,S001,3,123.49,370.47,2025-12-20,2025-12-20,6,On Time,Fulfilled,0,0
O000206,2025-04-02,Central,P0006,S007,8,73.03,584.24,2025-04-07,2025-04-08,6,Late,Fulfilled,0,1
O000207,2025-07-09,South,P0031,S010,8,75.12,600.96,2025-07-12,2025-07-12,3,On Time,Fulfilled,0,0
O000208,2025-01-09,South,P0027,S010,6,275.2,1651.2,2025-01-15,2025-01-14,5,On Time,Fulfilled,0,0
O000209,2025-08-01,South,P0001,S004,6,289.3,1735.8,2025-08-06,2025-08-07,6,Late,Fulfilled,0,1
O000210,2025-05-13,West,P0009,S004,5,209.42,1047.1,2025-05-15,2025-05-14,1,On Time,Fulfilled,0,0
O000211,2025-10-24,East,P0023,S010,7,93.63,655.41,2025-10-30,2025-10-31,7,Late,Fulfilled,0,1
O000212,2025-03-23,West,P0013,S004,6,290.72,1744.32,2025-03-26,2025-03-26,3,On Time,Fulfilled,0,0
O000213,2025-11-13,West,P0026,S007,8,250.97,2007.76,2025-11-15,2025-11-15,2,On Time,Fulfilled,0,0
O000214,2025-08-11,West,P0034,S007,4,263.25,1053.0,2025-08-15,2025-08-19,8,Late,Fulfilled,0,1
O000215,2025-11-12,Central,P0046,S007,2,225.07,450.14,2025-11-16,2025-11-17,5,Late,Returned,1,1
O000216,2025-11-14,South,P0040,S001,3,216.21,648.63,2025-11-18,2025-11-18,4,On Time,Fulfilled,0,0
O000217,2025-03-24,East,P0012,S001,2,86.98,173.96,2025-03-26,2025-03-27,3,Late,Returned,1,1
O000218,2025-09-07,North,P0017,S004,8,179.09,1432.72,2025-09-11,2025-09-12,5,Late,Fulfilled,0,1
O000219,2025-02-05,South,P0051,S010,3,159.11,477.33,2025-02-09,2025-02-10,5,Late,Fulfilled,0,1
O000220,2025-10-29,South,P0017,S004,4,179.09,716.36,2025-11-01,2025-11-02,4,Late,Fulfilled,0,1
O000221,2025-08-21,West,P0023,S010,3,93.63,280.89,2025-08-27,2025-08-27,6,On Time,Fulfilled,0,0
O000222,2025-05-11,Central,P0013,S004,6,290.72,1744.32,2025-05-15,2025-05-14,3,On Time,Fulfilled,0,0
O000223,2025-06-13,West,P0002,S007,1,244.65,244.65,2025-06-15,2025-06-14,1,On Time,Fulfilled,0,0
O000224,2025-05-12,North,P0023,S010,1,93.63,93.63,2025-05-18,2025-05-17,5,On Time,Fulfilled,0,0
O000225,2025-03-16,South,P0035,S010,4,211.82,847.28,2025-03-19,2025-03-20,4,Late,Fulfilled,0,1
O000226,2025-11-13,North,P0055,S010,4,76.46,305.84,2025-11-18,2025-11-19,6,Late,Fulfilled,0,1
O000227,2025-12-13,North,P0057,S004,5,302.85,1514.25,2025-12-15,2025-12-16,3,Late,Fulfilled,0,1
